SCENE FILE: many_spheres_refl.txt
13
5    	[-1.00, -2.00, 6.00]	[0.50, 1, 0.00]        [0, 0, 0]        [0, 0, 0]        [0, 0, 0]	[0, 0, 0]	[0, 0, 0, 0]
5    	[1.00, -2.00, 6.00]    	[0.50, 1, 0.00]        [0, 0, 0]        [0, 0, 0]        [0, 0, 0]	[0, 0, 0]	[0, 0, 0, 0]
5    	[-1.00, -2.00, 10.00] 	[0.50, 1, 0.00]        [0, 0, 0]        [0, 0, 0]        [0, 0, 0]	[0, 0, 0]	[0, 0, 0, 0]
5    	[1.00, -2.00, 10.00]    [0.50, 1, 0.00]        [0, 0, 0]        [0, 0, 0]        [0, 0, 0]	[0, 0, 0]	[0, 0, 0, 0]
5	[-1.00, -2.00, 14.00]  	[0.50, 1, 0.00]        [0, 0, 0]        [0, 0, 0]        [0, 0, 0]	[0, 0, 0]	[0, 0, 0, 0]
5	[1.00, -2.00, 14.00]    [0.50, 1, 0.00]        	[0, 0, 0]        [0, 0, 0]        [0, 0, 0]	[0, 0, 0]	[0, 0, 0, 1]
0	[0.00, -1.5, 10.00]	[15, 0, 0.00]		[0, 0, 0]	[810, 0, 0]	[0, 0, 0]	[0, 0, 0]	[1, 0, 0, 1]
5    	[-1.00, -1.00, 6.00]    [0.50, 1, 0.00]        [0, 0, 0]        [0, 0, 0]        [0, 0, 0]	[0, 0, 0]	[0, 0, 0, 0]
5    	[1.00, -1.00, 6.00]    	[0.50, 1, 0.00]        [0, 0, 0]        [0, 0, 0]        [0, 0, 0]	[0, 0, 0]	[0, 0, 0, 0]
5    	[-1.00, -1.00, 10.00]  	[0.50, 1, 0.00]        [0, 0, 0]        [0, 0, 0]        [0, 0, 0]	[0, 0, 0]	[0, 0, 0, 0]
5    	[1.00, -1.00, 10.00]    [0.50, 1, 0.00]        [0, 0, 0]        [0, 0, 0]        [0, 0, 0]	[0, 0, 0]	[0, 0, 0, 0]
5    	[-1.00, -1.00, 14.00] 	[0.50, 1, 0.00]        [0, 0, 0]        [0, 0, 0]        [0, 0, 0]	[0, 0, 0]	[0, 0, 0, 0]
5    	[1.00, -1.00, 14.00]    [0.50, 1, 0.00]        [0, 0, 0]        [0, 0, 0]        [0, 0, 0]	[0, 0, 0]	[0, 0, 0, 0]


